nconst,actor,primaryName,actress,knownForTitles,director,tconst,titleType,originalTitle,startYear,Drama,Comedy,Romance,Thriller,genres,job
nm0216277,1,E.L. Delaney,0,tt0007452,0,tt0007452,movie,The Thousand-Dollar Husband,1916,0,1,0,0,Comedy,actor
nm0216295,1,Jeff Delaney,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0233514,1,Greg Doren,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0252894,1,Scott Elaesser,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0295917,1,Dean Friss,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0301492,0,Barbara Gajewska,1,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actress
nm0360278,1,Derek Hannah,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0392045,0,Shannon Holmes,1,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actress
nm0420800,0,Chantelle Jenkins,1,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actress
nm0488106,1,Alexander Large,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0488118,1,Jeffrey Large,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0501106,1,Peter Lemar,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0514332,1,Ken Litchfield,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0593524,0,Lava Ann Mitchell,1,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actress
nm0668696,1,Dwayne Peace,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0820098,1,Lincoln Squire,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0944121,1,Les Wysnowski,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm2001882,1,Sonny,0,tt0104613,0,tt0104613,movie,Killer Image,1992,0,0,0,1,Thriller,actor
nm0216781,0,Lillian DeLesque,1,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actress
nm0447707,1,Frank Kendrick,0,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actor
nm0713815,1,Daniel Read,0,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actor
nm0821275,1,Frank Stafford,0,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actor
nm0831700,0,Agnes Stone,1,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actress
nm0925150,0,Louise White,1,tt0002405,0,tt0002405,movie,Oliver Twist,1912,1,0,0,0,Drama,actress
nm0217991,0,Karin Delville,1,tt0093374,0,tt0093374,movie,Der Kuß des Tigers,1988,0,0,0,1,Thriller,actress
nm0218175,0,Marie Demartiniová-Hradcanská,1,tt0001341,0,tt0001341,movie,Jarní sen starého mládence,1913,0,1,0,0,Comedy,actress
nm1024681,0,Josef Kricenský,0,tt0001341,1,tt0001341,movie,Jarní sen starého mládence,1913,0,1,0,0,Comedy,director
nm0218863,1,Ron Dena,0,tt0099549,0,tt0099549,movie,Fatal Encounter,1990,0,0,0,1,Thriller,actor
